2026-04-10 15:40:35,004 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,026 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,026 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,026 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,026 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,046 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,047 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,107 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,107 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,128 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,128 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,150 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:35,151 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:37,860 | INFO | electrical_capacity_app | startDrag | Start drag for part: MTR-001
2026-04-10 15:40:39,908 | INFO | electrical_capacity_app | handle_drop | Dropped part: MTR-001
2026-04-10 15:40:39,908 | DEBUG | electrical_capacity_app | get_part_by_no | Fetching part by part_no=MTR-001
2026-04-10 15:40:39,910 | INFO | electrical_capacity_app | add_part | Adding part to breaker SUB-MCCB-01: MTR-001 x 1
2026-04-10 15:40:39,910 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:39,910 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=78.00A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,911 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,912 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,912 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,912 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,912 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
2026-04-10 15:40:39,912 | DEBUG | electrical_capacity_app | select_breaker | Selecting breaker for current=19.50A
